date	close
31-Jan-16	4
01-Feb-16	8
03-Feb-16	3
04-Feb-16	2
05-Feb-16	7
06-Feb-16	2
07-Feb-16	3
08-Feb-16	5
09-Feb-16	3
10-Feb-16	2
11-Feb-16	1
12-Feb-16	5
13-Feb-16	4
14-Feb-16	4
15-Feb-16	5
16-Feb-16	6
17-Feb-16	2
18-Feb-16	5
19-Feb-16	1
20-Feb-16	2
21-Feb-16	3
22-Feb-16	3
23-Feb-16	3
24-Feb-16	2
25-Feb-16	4
26-Feb-16	7
27-Feb-16	5
28-Feb-16	5
29-Feb-16	2
01-Mar-16	4
02-Mar-16	5
03-Mar-16	2
04-Mar-16	2
05-Mar-16	5
06-Mar-16	2
07-Mar-16	5
08-Mar-16	3
09-Mar-16	2
10-Mar-16	4
11-Mar-16	5
12-Mar-16	3
13-Mar-16	9
14-Mar-16	10
15-Mar-16	2
16-Mar-16	3
17-Mar-16	3
18-Mar-16	4
19-Mar-16	2
20-Mar-16	3
21-Mar-16	2
22-Mar-16	4
23-Mar-16	8
24-Mar-16	5
25-Mar-16	2
26-Mar-16	2
27-Mar-16	3
28-Mar-16	6
29-Mar-16	3
30-Mar-16	4
31-Mar-16	9
01-Apr-16	3
02-Apr-16	4
03-Apr-16	6
04-Apr-16	6
05-Apr-16	7
06-Apr-16	6
07-Apr-16	4
08-Apr-16	5
09-Apr-16	7
10-Apr-16	4
11-Apr-16	8
12-Apr-16	4
13-Apr-16	5
14-Apr-16	2
15-Apr-16	1
16-Apr-16	4
17-Apr-16	3
18-Apr-16	4
19-Apr-16	5
20-Apr-16	3
21-Apr-16	5
22-Apr-16	2
23-Apr-16	2
25-Apr-16	3
26-Apr-16	3
27-Apr-16	6
28-Apr-16	2
29-Apr-16	3
30-Apr-16	3
01-May-16	4
02-May-16	9
03-May-16	3
04-May-16	7
05-May-16	2
06-May-16	3
07-May-16	1
08-May-16	4
09-May-16	4
11-May-16	3
12-May-16	4
13-May-16	2
15-May-16	3
16-May-16	2
17-May-16	2
19-May-16	3
21-May-16	6
22-May-16	3
23-May-16	4
24-May-16	4
25-May-16	1
26-May-16	5
27-May-16	4
29-May-16	6
30-May-16	5
31-May-16	3
01-Jun-16	5
02-Jun-16	4
03-Jun-16	7
04-Jun-16	3
05-Jun-16	2
06-Jun-16	5
07-Jun-16	7
08-Jun-16	3
09-Jun-16	7
10-Jun-16	3
11-Jun-16	4
12-Jun-16	2
13-Jun-16	2
14-Jun-16	5
15-Jun-16	1
17-Jun-16	6
18-Jun-16	2
19-Jun-16	4
20-Jun-16	6
21-Jun-16	5
22-Jun-16	11
23-Jun-16	6
24-Jun-16	2
25-Jun-16	4
26-Jun-16	4
27-Jun-16	2
28-Jun-16	8
29-Jun-16	5
30-Jun-16	2
01-Jul-16	8
02-Jul-16	4
03-Jul-16	6
04-Jul-16	5
05-Jul-16	10
06-Jul-16	4
07-Jul-16	2
08-Jul-16	4
09-Jul-16	9
10-Jul-16	3
11-Jul-16	2
13-Jul-16	4
14-Jul-16	4
15-Jul-16	1
16-Jul-16	7
17-Jul-16	4
18-Jul-16	3
19-Jul-16	5
20-Jul-16	6
21-Jul-16	4
22-Jul-16	4
23-Jul-16	6
24-Jul-16	3
25-Jul-16	3
26-Jul-16	3
27-Jul-16	3
28-Jul-16	2
29-Jul-16	4
30-Jul-16	2
31-Jul-16	6
01-Aug-16	2
02-Aug-16	3
03-Aug-16	5
04-Aug-16	2
05-Aug-16	5
06-Aug-16	4
07-Aug-16	3
08-Aug-16	5
09-Aug-16	4
10-Aug-16	9
11-Aug-16	8
12-Aug-16	3
13-Aug-16	5
14-Aug-16	5
15-Aug-16	1
16-Aug-16	6
17-Aug-16	5
18-Aug-16	3
19-Aug-16	4
20-Aug-16	4
21-Aug-16	4
22-Aug-16	3
23-Aug-16	4
24-Aug-16	1
25-Aug-16	1
26-Aug-16	3
27-Aug-16	3
28-Aug-16	4
29-Aug-16	5
30-Aug-16	6
31-Aug-16	1
01-Sep-16	3
02-Sep-16	2
03-Sep-16	2
04-Sep-16	10
05-Sep-16	4
06-Sep-16	4
07-Sep-16	4
08-Sep-16	4
10-Sep-16	3
11-Sep-16	1
12-Sep-16	4
13-Sep-16	3
14-Sep-16	2
15-Sep-16	4
16-Sep-16	4
17-Sep-16	2
18-Sep-16	2
19-Sep-16	6
20-Sep-16	2
21-Sep-16	4
22-Sep-16	1
23-Sep-16	1
24-Sep-16	1
25-Sep-16	3
26-Sep-16	1
27-Sep-16	2
28-Sep-16	2
29-Sep-16	2
30-Sep-16	5
01-Oct-16	3
02-Oct-16	1
03-Oct-16	3
04-Oct-16	3
05-Oct-16	4
06-Oct-16	1
07-Oct-16	2
08-Oct-16	2
09-Oct-16	3
10-Oct-16	4
11-Oct-16	2
12-Oct-16	4
13-Oct-16	2
15-Oct-16	7
16-Oct-16	3
17-Oct-16	1
19-Oct-16	4
20-Oct-16	4
21-Oct-16	5
22-Oct-16	3
23-Oct-16	4
24-Oct-16	7
25-Oct-16	3
26-Oct-16	2
27-Oct-16	4
29-Oct-16	4
30-Oct-16	3
01-Nov-16	2
02-Nov-16	7
03-Nov-16	4
04-Nov-16	1
05-Nov-16	3
06-Nov-16	2
07-Nov-16	1
08-Nov-16	3
09-Nov-16	4
10-Nov-16	7
11-Nov-16	1
12-Nov-16	2
13-Nov-16	2
14-Nov-16	1
15-Nov-16	3
16-Nov-16	3
18-Nov-16	2
19-Nov-16	1
20-Nov-16	2
21-Nov-16	6
22-Nov-16	2
23-Nov-16	2
24-Nov-16	8
25-Nov-16	5
26-Nov-16	5
27-Nov-16	5
28-Nov-16	2
29-Nov-16	1
30-Nov-16	6
01-Dec-16	3
02-Dec-16	2
03-Dec-16	4
04-Dec-16	2
05-Dec-16	1
06-Dec-16	2
07-Dec-16	3
08-Dec-16	1
09-Dec-16	1
10-Dec-16	1
11-Dec-16	4
12-Dec-16	1
13-Dec-16	2
14-Dec-16	9
15-Dec-16	1
16-Dec-16	5
17-Dec-16	2
18-Dec-16	4
19-Dec-16	7
20-Dec-16	2
21-Dec-16	5
22-Dec-16	6
23-Dec-16	3
24-Dec-16	5
25-Dec-16	5
26-Dec-16	8
27-Dec-16	9
28-Dec-16	4
29-Dec-16	7
30-Dec-16	3
31-Dec-16	4
01-Jan-17	3
02-Jan-17	9
03-Jan-17	5
04-Jan-17	5
05-Jan-17	1
06-Jan-17	5
07-Jan-17	1
08-Jan-17	2
09-Jan-17	6
10-Jan-17	3
11-Jan-17	2
12-Jan-17	5
13-Jan-17	3
15-Jan-17	3
16-Jan-17	5
17-Jan-17	2
18-Jan-17	5
19-Jan-17	4
20-Jan-17	1
