date	close
10-Oct-05	1
15-Oct-05	1
02-Dec-05	1
07-Jan-06	1
31-Jan-06	1
23-Apr-06	1
11-May-06	1
16-May-06	1
17-May-06	1
22-Jun-06	1
25-Jul-06	1
09-Aug-06	1
24-Aug-06	1
11-Sep-06	1
13-Sep-06	1
19-Sep-06	1
02-Oct-06	1
28-Oct-06	1
04-Nov-06	1
19-Dec-06	1
10-Jan-07	1
15-Jan-07	1
30-Jan-07	1
05-Feb-07	1
14-Feb-07	1
27-Feb-07	1
08-Mar-07	1
15-Mar-07	1
17-Mar-07	1
04-Apr-07	1
09-Apr-07	1
12-Apr-07	1
24-Apr-07	1
26-Apr-07	1
08-May-07	1
11-May-07	1
14-May-07	1
22-May-07	1
04-Jun-07	1
08-Jun-07	1
14-Jun-07	2
22-Jun-07	1
05-Jul-07	1
09-Jul-07	1
16-Jul-07	1
19-Jul-07	2
25-Jul-07	1
26-Jul-07	1
27-Jul-07	1
13-Aug-07	1
18-Aug-07	1
27-Aug-07	4
29-Aug-07	1
30-Aug-07	2
03-Sep-07	2
04-Sep-07	1
08-Sep-07	2
09-Sep-07	1
14-Sep-07	1
18-Sep-07	1
23-Sep-07	1
29-Sep-07	1
01-Oct-07	1
08-Oct-07	1
10-Oct-07	1
15-Oct-07	1
23-Oct-07	1
31-Oct-07	1
10-Nov-07	1
18-Nov-07	1
24-Nov-07	1
27-Nov-07	1
09-Dec-07	1
10-Dec-07	1
12-Dec-07	1
18-Dec-07	1
25-Dec-07	1
27-Dec-07	1
28-Dec-07	1
01-Jan-08	1
03-Jan-08	1
06-Jan-08	1
09-Jan-08	1
11-Jan-08	1
14-Jan-08	1
15-Jan-08	2
16-Jan-08	2
17-Jan-08	1
25-Jan-08	1
01-Feb-08	2
05-Feb-08	1
21-Feb-08	1
25-Feb-08	1
26-Feb-08	1
03-Mar-08	2
05-Mar-08	2
07-Mar-08	1
11-Mar-08	1
16-Mar-08	1
17-Mar-08	1
23-Mar-08	2
29-Mar-08	1
30-Mar-08	1
31-Mar-08	1
01-Apr-08	2
23-Apr-08	1
26-Apr-08	1
29-Apr-08	1
01-May-08	1
08-May-08	1
10-May-08	1
14-May-08	1
16-May-08	1
17-May-08	1
24-May-08	1
29-May-08	1
02-Jun-08	2
04-Jun-08	1
07-Jun-08	1
12-Jun-08	1
17-Jun-08	2
18-Jun-08	1
22-Jun-08	1
23-Jun-08	1
02-Jul-08	1
03-Jul-08	1
08-Jul-08	1
09-Jul-08	1
14-Jul-08	1
16-Jul-08	1
18-Jul-08	1
21-Jul-08	1
23-Jul-08	1
25-Jul-08	1
28-Jul-08	1
14-Aug-08	1
15-Aug-08	1
18-Aug-08	1
30-Aug-08	1
02-Sep-08	1
06-Sep-08	1
09-Sep-08	1
13-Sep-08	1
16-Sep-08	2
18-Sep-08	1
22-Sep-08	1
25-Sep-08	1
23-Oct-08	2
27-Oct-08	3
28-Oct-08	1
30-Oct-08	1
31-Oct-08	1
04-Nov-08	1
08-Nov-08	1
13-Nov-08	1
15-Nov-08	1
01-Dec-08	1
03-Dec-08	3
04-Dec-08	3
09-Dec-08	2
20-Dec-08	1
21-Dec-08	1
28-Dec-08	1
31-Dec-08	1
02-Jan-09	1
04-Jan-09	1
05-Jan-09	1
06-Jan-09	1
08-Jan-09	1
14-Jan-09	1
16-Jan-09	1
17-Jan-09	2
20-Jan-09	1
21-Jan-09	1
26-Jan-09	1
27-Jan-09	1
29-Jan-09	2
30-Jan-09	1
31-Jan-09	2
01-Feb-09	1
09-Feb-09	1
10-Feb-09	1
11-Feb-09	1
12-Feb-09	1
18-Feb-09	2
19-Feb-09	1
20-Feb-09	1
25-Feb-09	1
26-Feb-09	1
07-Mar-09	1
